nama_hotel,nama_pelanggan,rating,ulasan,,,
XYZ,Cindy C. H.,8.5,"Makanan enak seperti hotel bintang 5, cuma anak diminta bayar, it's okay. Kamar oke, staf ramah, fasilitas ok.",,,
XYZ,N***a,9.7,Staycation yg nyaman krn ambience dari lobby sampai ke kamarnya tenang. Untuk di makanan rasanya standard (cukup enak). Fasilitas yg bisa digunakan beragam jadi menyenangkan.,,,
XYZ,L***a,9.4,staf hotel sangat ramah memberi kamar sesuai keinginan dan memberi alternatif pilihan,,,
XYZ,Adi P.,10,Terima kasih buat staff hotel Rama Adi dan Dinni yang bantuin check in lebih cepat karena badan capek banget. Luar biasa membantu. Staff yang lain juga baik sangat membantu. Kamar-nya bersih dan nyaman pol.,,,
XYZ,G***a,10,bagus staff ramah pelayanan oke banget,,,
XYZ,M***M,9.4,Selalu menyenangkan menginap di sini.,,,
XYZ,R***a,9.7,pelayanan staf ramah dan makanannya enak2,,,
XYZ,A***n,8.5,"Awalnya penasaran dgn bintangnya 4.9, tapi mmg semua servicenya kereenn... mulai dr security yg sigap, kamarnya bersih, menu sarapan variatif (hanya saja ada ulat sayurx ngikut, semoga kedepannya diperhatikan agar lebih baik lagi). but overall semuanya baguusss ğ??ğ?»ğ??ğ?» Saran dari kami, tempat gym nya kurang Dumbbell, juga spinning bike-nya tidak bisa berfungsi, dan kebersihan sayur2an sblm dimasak ğ??ğ?»ğ??ğ?» 916, 5-6april 2025.",,,
XYZ,Yadi,9,"untuk staff hotel ramah2. Hanya masukan saja pas check in padahal sudah setengah 3an tp proses lumayan lama. Dan pas sudah di resepsionis tidak langsung dapet acces kamar. Harus menunggu lagi sekitar 15 menitan. Untuk kamar no complen. Hanya saja ac nya sangat kurang dingin . Untuk menu2 sarapan untuk side dish banyak macamnya dan rasa lumayan enak. Tp untuk menu nasinya,lauknya sangat kurang rasanya dan hanya ada 2 pilihan menu. yaitu protein dan tumis sayur. Oya ac di loby dan pas ditempat sarapan sangat kurang berasa dingin. over all,kedepannya bisa untuk menginap lagi disni.",,,
XYZ,andri s.,10,"Kamar bersih , bantal empuk . Dan staff yg ramah",,,
XYZ,E***n,9.6,Biaya tambahan breakfast untuk anak di bawah 12 tahun sebaiknya tidak terlalu mahal.,,,
XYZ,Si Geboy,10,"hotel na sangad nyaman staff na sngat ramah,, hanya saja di kamar mandi kamar cma di isi shampoo saja untuk sabun na kosong kolem renang na ada 2 yg kecil dan yg tinggi dan dket dri indomaret alfamart srta tmpat makan lain na untuk breakfast anak diatas 5 thun sudah di kenakan tmbahan biaya sbesar 90rb makanan na bervariasi dan rasa na pun jg enakğ?¥° staycation di saat liburan lebaran hrga hotel manapun naik menjulang tp worthit krna memuaskan smua nağ?¥°",,,
XYZ,Eka W.,10,Tingkatkan lagi pelayanan dan lebih baik,,,
XYZ,K***l,9.4,tempat nya bagus. nyaman dan staff nya ramah.,,,
XYZ,Muhammad I.,10,"hotel nya nyaman,staf nya pun ramah,makanan ny pun enak banget",,,
XYZ,H budi k.,8.4,"Sesuai ekspektasi. Kamar-nya bersih, AC-nya dingin banget. Pelayanan staf-nya good. Makanan-nya enak, kolam renang-nya bersih. Next balik lagi sini.",,,
